No,Temuan,Severity,Confidence,OWASP,CWE
1,Missing Security Headers,medium,99%,A05:2021,CWE-693
2,Information Disclosure,medium,78%,A02:2021,CWE-200
3,Server Version Disclosure,low,98%,A05:2021,CWE-200
4,Insecure Content Security Policy,medium,97%,A05:2021,CWE-1021
5,Missing Security Headers,medium,99%,A05:2021,CWE-693
6,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
7,File Upload Endpoint Detected,medium,90%,A04:2021,CWE-434
8,Missing Security Headers,medium,99%,A05:2021,CWE-693
9,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
10,Cross-Site Scripting (XSS),high,85%,A03:2021,CWE-79
11,Cross-Site Scripting (XSS),high,85%,A03:2021,CWE-79
12,Missing Security Headers,medium,99%,A05:2021,CWE-693
13,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
14,Missing Security Headers,medium,99%,A05:2021,CWE-693
15,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
16,Missing Security Headers,medium,99%,A05:2021,CWE-693
17,Information Disclosure,medium,78%,A02:2021,CWE-200
18,Server Version Disclosure,low,98%,A05:2021,CWE-200
19,Insecure Content Security Policy,medium,97%,A05:2021,CWE-1021
20,Missing Security Headers,medium,99%,A05:2021,CWE-693
21,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
22,Missing Security Headers,medium,99%,A05:2021,CWE-693
23,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
24,Missing Security Headers,medium,99%,A05:2021,CWE-693
25,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
26,Missing Security Headers,medium,99%,A05:2021,CWE-693
27,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
28,Information Disclosure,medium,78%,A02:2021,CWE-200
29,Missing Security Headers,medium,99%,A05:2021,CWE-693
30,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
31,Information Disclosure,medium,78%,A02:2021,CWE-200
32,Missing Security Headers,medium,99%,A05:2021,CWE-693
33,Server Version Disclosure,low,98%,A05:2021,CWE-200
34,Insecure Content Security Policy,medium,97%,A05:2021,CWE-1021
35,Missing Security Headers,medium,99%,A05:2021,CWE-693
36,Server Version Disclosure,low,98%,A05:2021,CWE-200
37,Insecure Content Security Policy,medium,97%,A05:2021,CWE-1021
38,Missing Security Headers,medium,99%,A05:2021,CWE-693
39,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
40,Server Version Disclosure,low,98%,A05:2021,CWE-200
41,Missing Security Headers,medium,99%,A05:2021,CWE-693
42,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
43,Server Version Disclosure,low,98%,A05:2021,CWE-200
44,Insecure Content Security Policy,medium,97%,A05:2021,CWE-1021
45,Missing Security Headers,medium,99%,A05:2021,CWE-693
46,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
47,Server Version Disclosure,low,98%,A05:2021,CWE-200
48,Insecure Content Security Policy,medium,97%,A05:2021,CWE-1021
49,Missing Security Headers,medium,99%,A05:2021,CWE-693
50,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
51,Missing Security Headers,medium,99%,A05:2021,CWE-693
52,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
53,Server Version Disclosure,low,98%,A05:2021,CWE-200
54,Insecure Content Security Policy,medium,97%,A05:2021,CWE-1021
55,Missing Security Headers,medium,99%,A05:2021,CWE-693
56,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
57,Server Version Disclosure,low,98%,A05:2021,CWE-200
58,Missing Security Headers,medium,99%,A05:2021,CWE-693
59,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
60,Server Version Disclosure,low,98%,A05:2021,CWE-200
61,Insecure Content Security Policy,medium,97%,A05:2021,CWE-1021
62,Missing Security Headers,medium,99%,A05:2021,CWE-693
63,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
64,Server Version Disclosure,low,98%,A05:2021,CWE-200
65,Cross-Site Scripting (XSS),high,85%,A03:2021,CWE-79
66,Missing Security Headers,medium,99%,A05:2021,CWE-693
67,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
68,Server Version Disclosure,low,98%,A05:2021,CWE-200
69,Insecure Content Security Policy,medium,97%,A05:2021,CWE-1021
70,Missing Security Headers,medium,99%,A05:2021,CWE-693
71,Server Version Disclosure,low,98%,A05:2021,CWE-200
72,Insecure Content Security Policy,medium,97%,A05:2021,CWE-1021
