No,Temuan,Severity,Confidence,OWASP,CWE
1,Missing Security Headers,medium,99%,A05:2021,CWE-693
2,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
3,Server Version Disclosure,low,98%,A05:2021,CWE-200
4,Insecure Cookie Configuration,medium,95%,A07:2021,CWE-614
5,Missing Security Headers,medium,99%,A05:2021,CWE-693
6,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
7,Server Version Disclosure,low,98%,A05:2021,CWE-200
8,Missing Security Headers,medium,99%,A05:2021,CWE-693
9,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
10,Server Version Disclosure,low,98%,A05:2021,CWE-200
11,Missing Security Headers,medium,99%,A05:2021,CWE-693
12,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
13,Server Version Disclosure,low,98%,A05:2021,CWE-200
14,Missing Security Headers,medium,99%,A05:2021,CWE-693
15,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
16,Server Version Disclosure,low,98%,A05:2021,CWE-200
17,Missing Security Headers,medium,99%,A05:2021,CWE-693
18,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
19,Server Version Disclosure,low,98%,A05:2021,CWE-200
20,Missing Security Headers,medium,99%,A05:2021,CWE-693
21,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
22,Missing Security Headers,medium,99%,A05:2021,CWE-693
23,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
24,Server Version Disclosure,low,98%,A05:2021,CWE-200
25,Missing Security Headers,medium,99%,A05:2021,CWE-693
26,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
27,Server Version Disclosure,low,98%,A05:2021,CWE-200
28,Missing Security Headers,medium,99%,A05:2021,CWE-693
29,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
30,Server Version Disclosure,low,98%,A05:2021,CWE-200
31,Missing Security Headers,medium,99%,A05:2021,CWE-693
32,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
33,Server Version Disclosure,low,98%,A05:2021,CWE-200
34,Server Version Disclosure,low,98%,A05:2021,CWE-200
35,Missing Security Headers,medium,99%,A05:2021,CWE-693
36,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
37,Server Version Disclosure,low,98%,A05:2021,CWE-200
38,Missing Security Headers,medium,99%,A05:2021,CWE-693
39,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
40,Server Version Disclosure,low,98%,A05:2021,CWE-200
41,Missing Security Headers,medium,99%,A05:2021,CWE-693
42,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
43,Server Version Disclosure,low,98%,A05:2021,CWE-200
44,Missing Security Headers,medium,99%,A05:2021,CWE-693
45,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
46,Server Version Disclosure,low,98%,A05:2021,CWE-200
