status_code,response_time,response_length,header_count,cookie_count,redirect_count,framework_encoded,server_encoded,authentication,param_count,form_count,endpoint_count,depth,has_password_field,has_file_upload,has_search_form,label
200,178,1000,0,1,0,0,0,1,0,0,2,2,0,0,0,Safe
200,346,1000,0,1,0,0,0,1,5,0,3,3,0,0,0,Safe
200,203,1222,0,1,0,0,0,1,5,1,3,3,0,0,0,Safe
200,326,1000,0,1,0,0,0,1,5,0,3,3,1,0,0,Safe
200,210,1180,0,1,0,0,0,1,5,1,3,3,1,0,0,Safe
200,224,1000,0,1,0,0,0,1,1,0,3,3,0,0,0,Safe
200,214,1012,0,1,0,0,0,1,1,1,3,3,0,0,0,Safe
200,198,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Safe
200,264,1000,0,1,0,0,0,1,1,0,3,3,0,0,0,Safe
200,199,1099,0,1,0,0,0,1,1,1,3,3,0,0,0,Safe
200,200,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Safe
200,282,1000,0,1,0,0,0,1,3,0,3,3,0,0,0,Safe
200,198,1129,0,1,0,0,0,1,3,1,3,3,0,0,0,Safe
200,202,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Safe
200,688,1000,0,1,0,0,0,1,13,0,3,3,1,0,0,Safe
200,224,1729,0,1,0,0,0,1,13,1,3,3,1,0,0,Safe
200,232,1000,0,1,0,0,0,1,1,0,3,3,0,0,0,Safe
200,197,1051,0,1,0,0,0,1,1,1,3,3,0,0,0,Safe
200,198,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Safe
200,192,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Safe
200,194,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Safe
200,196,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Safe
200,216,1000,0,1,0,0,0,1,0,0,4,4,0,0,0,Safe
200,214,1000,0,1,0,0,0,1,0,0,4,4,0,0,0,Safe
200,216,1000,0,1,0,0,0,1,0,0,4,4,0,0,0,Safe
200,196,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Safe
200,706,1000,0,1,0,0,0,1,13,0,3,3,1,0,0,Safe
200,223,1759,0,1,0,0,0,1,13,1,3,3,1,0,0,Safe
200,196,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Safe
200,196,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Safe
200,188,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Safe
200,188,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Safe
200,188,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Safe
200,200,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Safe
