status_code,response_time,response_length,header_count,cookie_count,redirect_count,framework_encoded,server_encoded,authentication,param_count,form_count,endpoint_count,depth,has_password_field,has_file_upload,has_search_form,label
500,1216,8285,2,1,2,5,0,0,7,0,5,0,0,1,1,Header
200,194,1000,0,1,0,0,0,1,0,0,2,2,0,0,0,Information
200,228,1864,0,1,0,0,0,1,13,1,3,3,1,0,0,Safe
200,223,1717,0,1,0,0,0,1,13,1,3,3,1,0,0,Safe
200,197,1114,0,1,0,0,0,1,3,1,3,3,0,0,0,Authorization
200,196,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Safe
200,396,1000,0,1,0,0,0,1,1,0,3,3,0,0,0,Input Validation
200,236,1000,0,1,0,0,0,1,0,0,4,4,0,0,0,Information
500,1609,3175,0,1,0,0,4,1,3,2,5,4,1,0,0,Header
200,198,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Safe
200,680,8953,7,0,2,2,3,0,7,2,9,4,0,0,1,Input Validation
200,868,1000,0,1,0,0,0,1,13,0,3,3,1,0,0,Input Validation
500,1152,4857,0,3,0,2,3,1,5,0,1,0,0,1,0,Header
200,199,1099,0,1,0,0,0,1,1,1,3,3,0,0,0,Safe
200,210,1195,0,1,0,0,0,1,5,1,3,3,1,0,0,Safe
200,236,1000,0,1,0,0,0,1,0,0,4,4,0,0,0,Information
200,199,1099,0,1,0,0,0,1,1,1,3,3,0,0,0,Safe
200,200,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Safe
200,234,1000,0,1,0,0,0,1,1,0,3,3,0,0,0,Safe
200,214,1012,0,1,0,0,0,1,1,1,3,3,0,0,0,Authorization
200,202,1201,0,1,0,0,0,1,5,1,3,3,0,0,0,Authorization
200,228,1924,0,1,0,0,0,1,13,1,3,3,1,0,0,Input Validation
200,186,1000,0,1,0,0,0,1,0,0,1,1,0,0,0,Information
403,899,4133,3,2,0,3,1,0,2,2,8,3,0,0,1,Session
200,202,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Information
200,197,1042,0,1,0,0,0,1,1,1,3,3,0,0,0,Safe
200,208,1000,0,1,0,0,0,1,0,0,3,3,0,0,0,Information
200,204,1261,0,1,0,0,0,1,1,1,3,3,0,0,0,Input Validation
400,1652,6318,4,3,1,2,2,1,2,1,3,1,1,0,0,Session
200,898,1000,0,1,0,0,0,1,13,0,3,3,1,0,0,Input Validation
400,1908,3737,1,3,1,4,3,1,0,2,8,0,1,0,0,Session
200,214,1000,0,1,0,0,0,1,0,0,4,4,0,0,0,Safe
200,250,1000,0,1,0,0,0,1,0,0,4,4,0,0,0,Input Validation
